change,address,typeofobj,location,price,date
9.9,Nordmannavägen 18C,Parhus, Saltsjö-Boo,6920000,2022-03-07
19.5,Rissneleden 163,Lägenhet, Rissne,3100000,2022-03-07
-0,Skansgatan 9A,Lägenhet, Nordstan,1050000,2022-03-07
3.2,Wäckareslingan 18,Radhus, Wäckare Äng,6450000,2022-03-07
13.6,Dalheimersgatan 6B,Lägenhet, Centrum,3350000,2022-03-07
16.4,Kryssarvägen 4,Lägenhet, Näsby Park,3930000,2022-03-07
—,Essingeringen 9,Lägenhet, Kungsholmen Stora Essingen,11350000,2022-03-07
11.3,Ormingeringen 79,Lägenhet, Västra Orminge,3000000,2022-03-07
46.9,Parmmätargatan 22,Lägenhet, Kungsholmen,2930000,2022-03-07
2.9,Kornvägen 5,Lägenhet, Hallunda,1800000,2022-03-07
10,Östhammarsgatan 69,Lägenhet, Östermalm,2525000,2022-03-07
21.4,Brinkvägen 1,Villa, Älvkarleby,965000,2022-03-07
2.9,Sommarvägen 9,Villa, Ersmark,4935000,2022-03-07
16.1,Orrvägen 10,Lägenhet, Teg,3000000,2022-03-07
4.2,Villagatan 8B,Lägenhet, Lindås,172000,2022-03-07
17.7,Västra Drottningvägen 12C,Lägenhet, Tidaholm,465000,2022-03-07
19.1,Lantmätaregatan 3A,Lägenhet, Öster,1400000,2022-03-07
13.7,Tuppa-Klaras väg 12,Villa, Adolfsberg,4775000,2022-03-07
43.8,Hamravägen 114,Tomt/Mark, Särö,5750000,2022-03-07
-4.1,Dalagatan 6,Lägenhet, Vasastan,7000000,2022-03-07
9.1,Lambergsgatan 1B,Lägenhet, Övre Eriksberg,2935000,2022-03-07
-0,Formgatan 3,Lägenhet, Limhamn,5495000,2022-03-07
0.2,Hättkvarnsgatan 5,Lägenhet, Jakobsberg,2200000,2022-03-07
8.7,Löfströms Allé 2B,Lägenhet, Centrum,6300000,2022-03-07
3,Byrumsgatan 16,Lägenhet, Visby Södercentrum,2730000,2022-03-07
6.8,Broslättsgatan 29,Lägenhet, Innerstaden,2450000,2022-03-07
-17.6,Byvägen 84,Villa, Bårsta,7000000,2022-03-07
2.6,Gröna Byn 512A,Lägenhet, Lindvallen,2000000,2022-03-07
49.2,Kvistbergsvägen 27,Villa, Klarälvdalen,970000,2022-03-07
7.1,Lagaskiftesvägen 1,Villa, Sunderbyn,3100000,2022-03-07
-12.4,Gådeåvägen 1B,Lägenhet, Centrum,460000,2022-03-07
-1.4,Slättängsgatan 4,Villa, Järnforsen,700000,2022-03-07
-8.8,Prostgränd 10,Villa, Karlslund,1960000,2022-03-07
50.3,Råsundavägen 119,Lägenhet, Gamla Råsunda,2990000,2022-03-07
—,Swedenborgsgatan 10,Lägenhet, Södermalm Maria,10000000,2022-03-06
-0,Pilgatan 26,Lägenhet, Kungsholmen,9750000,2022-03-06
—,Helsingörsgatan 44,Lägenhet, Kista,2422000,2022-03-06
—,Valhallavägen 14,Lägenhet, Östermalm,16200000,2022-03-06
-0,Lodjursstråket 1,Lägenhet, Lindholmen,5800000,2022-03-06
15.9,Lilla Varvsgatan 35A,Lägenhet, Västra Hamnen,4400000,2022-03-06
2.9,Idre Fjäll 161A,Lägenhet, Idre Fjäll,2980000,2022-03-06
1.8,Flemings väg 9D,Lägenhet, Malmbryggshage,2900000,2022-03-06
5.7,Bunkebergsgatan 7,Lägenhet, Östra Göteborg,3900000,2022-03-06
10.6,Åsgärdsgatan 162,Lägenhet, Mönsterås,1100000,2022-03-06
15.3,Trubadurvägen 1,Lägenhet, Västra Skogen,3800000,2022-03-06
9.1,Vikingavägen 71B,Lägenhet, Granlo,600000,2022-03-06
14.3,Forskningsringen 84,Lägenhet, Ursvik,2280000,2022-03-06
8,Nobelvägen 109A,Lägenhet, Sorgenfri,1830000,2022-03-06
10.8,Odensvivägen 5B,Lägenhet, Nyckelberget,720000,2022-03-06
15.5,Garvaregatan 2B,Lägenhet, Centrum,6350000,2022-03-06
—,Sturehillsvägen 12,Lägenhet, Liljeholmskajen,8100000,2022-03-06
4,Generatorgatan 5,Lägenhet," Asea-Stan, Västerås",1300000,2022-03-06
11,Valhallavägen 14,Lägenhet, Vasastan,8100000,2022-03-06
9.4,Nävergatan 7,Kedjehus, Bomhus,2900000,2022-03-06
2.6,Toppsegelsgatan 1,Lägenhet, Majorna,2000000,2022-03-06
6.3,Dagermansgatan 5E,Lägenhet, Löten,2120000,2022-03-06
10.5,Fyrverkarbacken 36,Lägenhet, Kungsholmen,10500000,2022-03-06
53.8,Basebo Sundsbro 11,Fritidshus, Hultsfred,1500000,2022-03-06
-1.6,Föreningsvägen 23,Villa, Gamla Ursvik,10575000,2022-03-06
0.5,Drottninggatan 162,Lägenhet, Norr,4010000,2022-03-06
-0,Skjutbanevägen 24,Villa, Iggesund,1100000,2022-03-06
-0,Genvägen 8,Villa, Alnö,4295000,2022-03-06
8.6,Strandvägen 7,Lägenhet, Vågmästaren,1900000,2022-03-06
6.8,Gjuterivägen 8,Lägenhet, Gjuteriet,2450000,2022-03-06
4,Tegelgatan 22,Villa, Göta,1820000,2022-03-06
14.3,Myggdalsvägen 108,Lägenhet, Bollmora,2400000,2022-03-06
4.2,Turbinvägen 5B,Lägenhet, Järla Sjö,2600000,2022-03-06
-4.5,Cedersborgsvägen 12,Lägenhet, Haga,1905000,2022-03-06
11.4,Swedenborgsgatan 30B,Lägenhet, Svartbäcken,2000000,2022-03-06
—,Bockhornsgatan 7A,Lägenhet, Västra Centrum,2700000,2022-03-06
2.6,Furustigen 14,Villa, Herrljunga,3900000,2022-03-06
20.5,Tingvägen 24,Villa, Glumslöv,3315000,2022-03-06
12.1,Gustafsvägen 6,Lägenhet, Råsunda,1900000,2022-03-06
-7,Skyttevägen 21,Villa, Norrsundet,1000000,2022-03-06
7.8,Getargatan 37,Villa, Bergsbyn,4200000,2022-03-06
14.4,Copperhillvägen 10A,Lägenhet, Björnen,4520000,2022-03-06
14.6,Hällingsjöbacken 32,Villa, Hällingsjö,6300000,2022-03-06
13.7,Industrigatan 25,Lägenhet, Hagalund,1245000,2022-03-06
-2.1,Otto Bondes väg 18,Radhus, Margretelund,2300000,2022-03-06
17,Sjödalsbacken 5,Lägenhet, Centralt,2100000,2022-03-06
0.1,Spårvagnsgatan 9,Radhus, Miatorp,3500000,2022-03-06
4.7,Gillbergavägen 48E,Lägenhet, Västermalm,1775000,2022-03-06
-4.3,Åsavägen 6,Villa, Åsaområdet,4400000,2022-03-06
-0,Svarvarvägen 11,Villa, Åker,4250000,2022-03-06
20.8,Olof Af Acrels väg 2,Lägenhet, Karolinska,3015000,2022-03-06
13.5,Honnörsgatan 27,Lägenhet, Järvastaden,5100000,2022-03-06
7,Grafiska vägen 4A,Lägenhet, Södra Centrum,2300000,2022-03-06
15,Herrgårdsgatan 10,Lägenhet, Tingvallastaden,3100000,2022-03-06
11.1,Jägersrovägen 13C,Lägenhet, Västra Kattarp,1550000,2022-03-06
-4.9,Folketshusvägen 17,Lägenhet, Klagshamn,3800000,2022-03-06
-0,Vengatan 1B,Lägenhet, Väster,1195000,2022-03-06
-0,Orgelgatan 16,Lägenhet, Kapellgärdet,1495000,2022-03-06
-8.2,Kärragårdsvägen 135,Villa, Ystad,1800000,2022-03-06
6.2,Norra Infartsgatan 55A,Lägenhet, Väster,1375000,2022-03-06
0.8,Båtbyggargatan 62,Lägenhet, Hammarby Sjöstad,7050000,2022-03-06
-0,Tosterövägen 15,Lägenhet, Älvsjö,2450000,2022-03-06
